"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL3247616";"";"";"Small molecule";"";"457.54";"1";"1";"-3.14";"195.32";"12";"8";"2";"11";"N";"0.15";"12.03";"10.20";"-2.78";"-5.39";"0";"MOL";"-1";"30";"11";"9";"2";"457.1982";"1.36";"BASE";"C18H35NO10S";"NCCCCCCS[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O";"DBESRJCXVQHJTD-NMBJFYFFSA-N";"InChI=1S/C18H35NO10S/c19-5-3-1-2-4-6-30-18-16(26)14(24)12(22)10(29-18)8-27-17-15(25)13(23)11(21)9(7-20)28-17/h9-18,20-26H,1-8,19H2/t9-,10-,11-,12-,13+,14+,15+,16+,17+,18-/m1/s1";"False";"-1";"['38']";"['(2R,3S,4S,5S,6R)-2-(6-aminohexylthio)-6-(((2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)methyl)tetrahydro-2H-pyran-3,4,5-triol']"
"CHEMBL1939389";"";"";"Small molecule";"";"468.41";"1";"1";"-0.65";"195.60";"12";"7";"2";"7";"N";"0.20";"8.11";"None";"0.06";"-0.02";"2";"MOL";"-1";"33";"12";"7";"2";"468.1268";"1.43";"NEUTRAL";"C21H24O12";"COc1ccc(CO)cc1O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O";"HFBOUEPGAQXQJC-PEVLUNPASA-N";"InChI=1S/C21H24O12/c1-30-13-3-2-9(7-22)4-14(13)32-21-19(28)18(27)17(26)15(33-21)8-31-20(29)10-5-11(23)16(25)12(24)6-10/h2-6,15,17-19,21-28H,7-8H2,1H3/t15-,17-,18+,19-,21-/m1/s1";"False";"-1";"['S7, R8C1']";"['(2-methoxy-5-hydroxymethyl-phenyl)-1-O-beta-D-(6-O-galloyl)glucopyranoside']"
"CHEMBL386416";"";"";"Small molecule";"";"443.44";"7";"7";"-3.17";"210.12";"11";"6";"2";"6";"N";"0.26";"9.95";"None";"-2.91";"-2.91";"2";"MOL";"-1";"30";"13";"7";"2";"443.1111";"-0.64";"NEUTRAL";"C16H21N5O8S";"NS(=O)(=O)c1ccc(C(=O)NCc2cn([C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)nn2)cc1";"DIVMUZMLCIWZTE-WZYWGQKZSA-N";"InChI=1S/C16H21N5O8S/c17-30(27,28)10-3-1-8(2-4-10)15(26)18-5-9-6-21(20-19-9)16-14(25)13(24)12(23)11(7-22)29-16/h1-4,6,11-14,16,22-25H,5,7H2,(H,18,26)(H2,17,27,28)/t11-,12+,13+,14-,16-/m1/s1";"False";"-1";"['8', "2b'"]";"['4-sulfamoyl-N-[1-((2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-hydroxymethyl-tetrahydro-pyran-2-yl)-1H-[1,2,3]triazol-4-ylmethyl]-benzamide', '4-(4-sulfamoylbenzamido)methyl-1-(beta-D-galactopyranosyl)-1H-1,2,3-triazole']"
"CHEMBL2110661";"";"";"Small molecule";"";"447.53";"1";"1";"-3.85";"213.72";"12";"8";"2";"6";"N";"0.20";"12.55";"9.59";"-4.32";"-11.46";"0";"MOL";"-1";"31";"12";"12";"2";"447.2693";"1.93";"BASE";"C19H37N5O7";"CN[C@H]1[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](OC3OC(CN)=CCC3N)[C@H](N)C[C@@H]2N)OC[C@@]1(C)O";"URWAJWIAIPFPJE-ZOZJWRQMSA-N";"InChI=1S/C19H37N5O7/c1-19(27)7-28-18(13(26)16(19)24-2)31-15-11(23)5-10(22)14(12(15)25)30-17-9(21)4-3-8(6-20)29-17/h3,9-18,24-27H,4-7,20-23H2,1-2H3/t9?,10-,11+,12+,13-,14+,15-,16+,17?,18+,19-/m1/s1";"False";"-1";"['BA1000636']";"[None]"
"CHEMBL252573";"";"2'-d-UTP";"Small molecule";"";"468.14";"1";"2";"-1.47";"244.14";"11";"6";"2";"8";"N";"0.24";"0.90";"None";"-2.48";"-9.89";"1";"MOL";"-1";"28";"16";"6";"2";"467.9736";"1.25";"ACID";"C9H15N2O14P3";"O=c1ccn([C@@H]2C[C@@H](O)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1";"AHCYMLUZIRLXAA-CHKWXVPMSA-N";"InChI=1S/C9H15N2O14P3/c12-5-3-8(11-2-1-7(13)10-9(11)14)23-6(5)4-22-27(18,19)25-28(20,21)24-26(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,18,19)(H,20,21)(H,10,13,14)(H2,15,16,17)/t5-,6+,8+/m1/s1";"False";"-1";"["2'-d-UTP"]";"["2'-d-UTP"]"
"CHEMBL402947";"SPIRAEOSIDE";"";"Small molecule";"";"464.38";"16";"38";"-0.54";"210.51";"12";"8";"2";"4";"N";"0.24";"6.38";"None";"-0.11";"-1.24";"3";"MOL";"-1";"33";"12";"8";"2";"464.0955";"2.13";"ACID";"C21H20O12";"O=c1c(O)c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc(O)cc(O)c12";"OIUBYZLTFSLSBY-HMGRVEAOSA-N";"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-2-1-7(3-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1";"False";"-1";"["quercetin-4'-glucoside", 'SID26757006', '5, spiraeoside', 'Spiraeoside', 'FLA9', 'spiraeoside', '8', 'Spiraeoside']";"['3,5,7-trihydroxy-2-(3-hydroxy-4-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-tetrahydro-2H-pyran-2-yloxy)phenyl)-4H-chromen-4-one', 'SID26757006', "quercetin 4'-O-glucoside", 'Spiraeoside', 'Spiraeoside', 'spiraeoside', 'spiraeoside', 'Spiraeoside']"
"CHEMBL4208190";"";"";"Small molecule";"";"319.27";"4";"5";"-5.52";"190.25";"11";"8";"2";"1";"N";"0.23";"10.30";"9.62";"-4.81";"-6.55";"0";"MOL";"-1";"22";"11";"9";"2";"319.1016";"2.74";"BASE";"C11H17N3O8";"NC1=N[C@H](O)[C@H]2[C@H]3O[C@]4(O)O[C@@H]([C@H](O)[C@@]2(N1)[C@@H]4O)[C@]3(O)CO";"CFMYXEVWODSLAX-QYIGHCJRSA-N";"InChI=1S/C11H17N3O8/c12-8-13-6(17)2-4-9(19,1-15)5-3(16)10(2,14-8)7(18)11(20,21-4)22-5/h2-7,15-20H,1H2,(H3,12,13,14)/t2-,3+,4-,5+,6-,7+,9+,10-,11+/m1/s1";"False";"-1";"['8-epiTTX; 2, 2a', 'Tetrodotoxin', 'TTX; 1']";"['NA', 'Tetrodotoxin', 'Tetrodotoxin']"
"CHEMBL2037057";"";"";"Small molecule";"";"450.40";"2";"3";"-0.15";"179.28";"11";"6";"2";"4";"N";"0.29";"8.88";"None";"0.56";"0.54";"3";"MOL";"-1";"32";"11";"6";"2";"450.1162";"2.17";"NEUTRAL";"C21H22O11";"COc1c2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2c(O)c2c(=O)oc(C)cc12";"ZYJZOGQFALTEHI-QUCXHVEGSA-N";"InChI=1S/C21H22O11/c1-7-3-9-14(20(28)30-7)16(25)13-10(19(9)29-2)4-8(23)5-11(13)31-21-18(27)17(26)15(24)12(6-22)32-21/h3-5,12,15,17-18,21-27H,6H2,1-2H3/t12-,15-,17+,18-,21-/m1/s1";"False";"-1";"['16']";"['7,9,10-trihydroxy-5-methoxy-3-methyl-1H-naphtho[2,3-c]pyran-1-one-9-O-beta-D-glucopyranoside']"
"CHEMBL3590183";"";"";"Small molecule";"";"448.42";"1";"1";"-3.30";"187.76";"12";"7";"2";"7";"N";"0.22";"11.93";"None";"-2.53";"-2.53";"1";"MOL";"-1";"31";"12";"7";"2";"448.1581";"1.58";"NEUTRAL";"C19H28O12";"COc1ccc(O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1";"PJFQMORRZLJWQE-QHWVJQBVSA-N";"InChI=1S/C19H28O12/c1-27-8-2-4-9(5-3-8)28-18-16(26)14(24)17(11(7-21)30-18)31-19-15(25)13(23)12(22)10(6-20)29-19/h2-5,10-26H,6-7H2,1H3/t10-,11-,12+,13+,14-,15-,16-,17+,18-,19-/m1/s1";"False";"-1";"['p-methoxyphenyl-galabioside']";"['p-methoxyphenyl-galabioside']"
"CHEMBL4209400";"";"";"Small molecule";"";"452.41";"1";"2";"-0.50";"197.37";"11";"8";"2";"7";"N";"0.20";"7.86";"None";"0.67";"0.54";"2";"MOL";"-1";"32";"11";"8";"2";"452.1319";"1.91";"NEUTRAL";"C21H24O11";"O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O";"AONTYURQWYQJNQ-QNDFHXLGSA-N";"InChI=1S/C21H24O11/c22-8-16-18(28)19(29)20(30)21(32-16)31-15-7-10(23)6-14(27)17(15)12(25)4-2-9-1-3-11(24)13(26)5-9/h1,3,5-7,16,18-24,26-30H,2,4,8H2/t16-,18-,19+,20-,21-/m1/s1";"False";"-1";"['1']";"['3-Hydroxyphloridzin']"
"CHEMBL519735";"";"";"Small molecule";"";"476.39";"1";"1";"0.15";"196.35";"11";"6";"2";"5";"N";"0.29";"2.74";"None";"0.60";"-3.25";"3";"MOL";"-1";"34";"12";"6";"2";"476.0955";"1.67";"ACID";"C22H20O12";"COc1cc(-c2cc(=O)c3c(O)cc(O[C@H]4O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]4O)cc3o2)ccc1O";"VLYLVFHVHHGXHX-JPVHLGFFSA-N";"InChI=1S/C22H20O12/c1-31-14-4-8(2-3-10(14)23)13-7-12(25)16-11(24)5-9(6-15(16)33-13)32-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-7,17-20,22-24,26-28H,1H3,(H,29,30)/t17-,18-,19+,20-,22+/m1/s1";"False";"-1";"['Chrysoeriol-7-R3']";"['(2R,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-7-yloxy)tetrahydro-2H-pyran-2-carboxylic acid']"
"CHEMBL248726";"QUERCIMERITRIN";"NSC-115917";"Small molecule";"";"464.38";"4";"9";"-0.54";"210.51";"12";"8";"2";"4";"N";"0.23";"7.08";"None";"-0.11";"-0.62";"3";"MOL";"-1";"33";"12";"8";"2";"464.0955";"2.09";"NEUTRAL";"C21H20O12";"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12";"BBFYUPYFXSSMNV-HMGRVEAOSA-N";"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)31-8-4-11(25)14-12(5-8)32-20(18(29)16(14)27)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1";"False";"-1";"['3', 'Quercimeritrin', 'NSC-115917', '9']";"['quercetin-7-O-beta-D-glucoside', 'Quercimeritrin', '2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)-4H-chromen-4-one', 'Quercimetrin']"
"CHEMBL3920168";"";"";"Small molecule";"";"446.41";"1";"1";"-2.58";"195.60";"11";"7";"2";"6";"N";"0.24";"4.32";"None";"-1.66";"-4.61";"1";"MOL";"-1";"31";"12";"7";"2";"446.1424";"1.75";"ACID";"C19H26O12";"C[C@@H]1O[C@@H](Oc2ccc(C(=O)O)cc2)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O";"ROEBAMXCPUFBCZ-ROQWQZEMSA-N";"InChI=1S/C19H26O12/c1-7-11(21)16(31-18-14(24)13(23)12(22)10(6-20)30-18)15(25)19(28-7)29-9-4-2-8(3-5-9)17(26)27/h2-5,7,10-16,18-25H,6H2,1H3,(H,26,27)/t7-,10+,11-,12+,13-,14+,15+,16+,18-,19-/m0/s1";"False";"-1";"['1']";"['p-hydroxybenzoic acid-4-O-beta-D-glucopyranosyl-(1->3)-alpha-L-rhamnopyranoside']"
"CHEMBL3221599";"";"";"Small molecule";"";"465.55";"2";"2";"-5.01";"233.95";"13";"9";"2";"7";"N";"0.17";"12.54";"9.99";"-4.90";"-12.61";"0";"MOL";"-1";"32";"13";"13";"2";"465.2799";"1.53";"BASE";"C19H39N5O8";"CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](N)[C@@H]3O)[C@H](N)C[C@@H]2N)O1";"JBGCUGKIFBWPLZ-RMJZLXMUSA-N";"InChI=1S/C19H39N5O8/c1-24-5-7-2-3-8(20)18(29-7)31-16-9(21)4-10(22)17(15(16)28)32-19-14(27)12(23)13(26)11(6-25)30-19/h7-19,24-28H,2-6,20-23H2,1H3/t7-,8+,9-,10+,11-,12+,13-,14-,15-,16+,17-,18+,19-/m0/s1";"False";"-1";"['1d']";"['(2R,3S,4R,5R,6S)-4-amino-2-((1S,2S,3R,4S,6R)-4,6-diamino-3-((2R,3R,6S)-3-amino-6-((methylamino)methyl)tetrahydro-2H-pyran-2-yloxy)-2-hydroxycyclohexyloxy)-6-(hydroxymethyl)tetrahydro-2H-pyran-3,5-diol']"
"CHEMBL4163708";"";"";"Small molecule";"";"456.36";"1";"1";"-1.04";"226.83";"13";"9";"2";"5";"N";"0.19";"8.09";"None";"0.08";"-0.01";"2";"MOL";"-1";"32";"13";"9";"2";"456.0904";"1.62";"NEUTRAL";"C19H20O13";"O=C(OC[C@H]1O[C@@H](Oc2c(O)cc(O)cc2O)[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1";"BDUFXTPLWBUGNM-YLUTUWDDSA-N";"InChI=1S/C19H20O13/c20-7-3-10(23)17(11(24)4-7)32-19-16(28)15(27)14(26)12(31-19)5-30-18(29)6-1-8(21)13(25)9(22)2-6/h1-4,12,14-16,19-28H,5H2/t12-,14-,15+,16-,19+/m1/s1";"False";"-1";"['1']";"['Myrsinoside A']"
"CHEMBL1277063";"";"";"Small molecule";"";"393.82";"1";"1";"-6.46";"205.54";"11";"10";"2";"8";"N";"0.20";"12.36";"6.96";"-6.34";"-6.48";"0";"MOL";"-1";"24";"11";"10";"2";"357.1635";"1.45";"NEUTRAL";"C13H28ClNO10";"Cl.OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO";"LRNZQURHOASYFX-XHOWHPHISA-N";"InChI=1S/C13H27NO10.ClH/c15-3-5-9(20)10(21)6(17)1-14(5)2-7(18)11(22)13(24)12(23)8(19)4-16;/h5-13,15-24H,1-4H2;1H/t5-,6+,7-,8+,9-,10-,11-,12-,13+;/m1./s1";"False";"-1";"['8']";"["7'-[(1,5-Dideoxy-1,5-imino-D-glucitol)-5-N-ammonium]-7'-deoxy-D-perseitol chloride"]"
"CHEMBL2303858";"";"";"Small molecule";"";"411.40";"2";"6";"-3.95";"176.40";"11";"6";"2";"7";"N";"0.24";"12.13";"None";"-3.71";"-3.71";"0";"MOL";"-1";"28";"12";"6";"2";"411.1741";"1.62";"NEUTRAL";"C16H29NO11";"CO[C@@H]1O[C@@H](CO)[C@@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2OC)[C@H](O)[C@@H]1NC(C)=O";"RHZZTOCGEJEAEQ-ZQLBHJPPSA-N";"InChI=1S/C16H29NO11/c1-6(20)17-9-11(22)13(8(5-19)27-15(9)25-3)28-16-14(24-2)12(23)10(21)7(4-18)26-16/h7-16,18-19,21-23H,4-5H2,1-3H3,(H,17,20)/t7-,8-,9-,10-,11+,12-,13+,14-,15+,16-/m0/s1";"False";"-1";"['2']";"['N-[5-(4,5-Dihydroxy-6-hydroxymethyl-3-methoxy-tetrahydro-pyran-2-yloxy)-4-hydroxy-6-hydroxymethyl-2-methoxy-tetrahydro-pyran-3-yl]-acetamide']"
